PLATE_ID,ZONE_mm,NOTES,DATE PLATED,DATE RECORDED,Column,Antibiotic
C02_D1_R1_IS1_1A,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D1_R1_IS1_1B,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D1_R1_IS1_2A,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D1_R1_IS1_2B,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D3_R1_IS3_1A,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D3_R1_IS3_1B,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D3_R1_IS3_2A,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D3_R1_IS3_2B,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D3_R2_IS1_1A,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D3_R2_IS1_1B,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D3_R2_IS1_2A,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C02_D3_R2_IS1_2B,0,Slight phenotypic change,4/4/23,4/5/23,C02,erythromycin
C09_D3_R2_IS1_1A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS1_1B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS1_2A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS1_2B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS2_1A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS2_1B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS2_2A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS2_2B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS3_1A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS3_1B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS3_2A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R2_IS3_2B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS1_1A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS1_1B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS1_2A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS1_2B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS2_1A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS2_1B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS2_2A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS2_2B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS3_1A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS3_1B,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS3_2A,0,,4/18/23,4/23/23,C09,erythromycin
C09_D3_R3_IS3_2B,0,,4/18/23,4/23/23,C09,erythromycin
C28_D1_R2_IS2_1A,0,Slight phenotypic change,4/4/23,4/5/23,C28,erythromycin
C28_D1_R2_IS2_1A,0,Slight phenotypic change,4/25/23,4/26/23,C28,erythromycin
C28_D1_R2_IS2_1B,0,Slight phenotypic change,4/4/23,4/5/23,C28,erythromycin
C28_D1_R2_IS2_1B,0,Slight phenotypic change,4/25/23,4/26/23,C28,erythromycin
C28_D1_R2_IS2_2A,0,Slight phenotypic change,4/4/23,4/5/23,C28,erythromycin
C28_D1_R2_IS2_2A,0,Slight phenotypic change,4/25/23,4/26/23,C28,erythromycin
C28_D1_R2_IS2_2B,0,Slight phenotypic change,4/4/23,4/5/23,C28,erythromycin
C28_D1_R2_IS2_2B,0,Slight phenotypic change,4/25/23,4/26/23,C28,erythromycin
C35_D1_R3_IS1_1A,0,Slight phenotypic change,4/4/23,4/5/23,C35,erythromycin
C35_D1_R3_IS1_1B,0,Slight phenotypic change,4/4/23,4/5/23,C35,erythromycin
C35_D1_R3_IS1_2A,0,Slight phenotypic change,4/4/23,4/5/23,C35,erythromycin
C35_D1_R3_IS1_2B,0,Slight phenotypic change,4/4/23,4/5/23,C35,erythromycin
C37_D6_R1_IS1_1A,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R1_IS1_1B,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R1_IS1_2A,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R1_IS1_2B,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R1_IS2_1A,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R1_IS2_1B,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R1_IS2_2A,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R1_IS2_2B,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R1_IS3_1A,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R1_IS3_1B,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R1_IS3_2A,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R1_IS3_2B,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R2_IS2_1A,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R2_IS2_1A,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R2_IS2_1B,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R2_IS2_1B,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R2_IS2_2A,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R2_IS2_2A,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R2_IS2_2B,0,,4/18/23,4/23/23,C37,erythromycin
C37_D6_R2_IS2_2B,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R2_IS3_1A,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R2_IS3_1B,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R2_IS3_2A,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R2_IS3_2B,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R3_IS1_1A,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R3_IS1_1B,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R3_IS1_2A,0,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R3_IS1_2B,0,,4/25/23,4/26/23,C37,erythromycin
C49_D1_R2_IS2_1A,0,,2/20/23,4/3/23,C49,erythromycin
C49_D1_R2_IS2_1B,0,,2/20/23,4/3/23,C49,erythromycin
C49_D1_R2_IS2_2A,0,,2/20/23,4/3/23,C49,erythromycin
C49_D1_R2_IS2_2B,0,,2/20/23,4/3/23,C49,erythromycin
C23_D1_R1_IS2_2B,11,NOT AN ERROR,4/4/23,4/5/23,C23,erythromycin
C30_D1_R1_IS3_2A,11,,[02.01.2023],[02.03.2023],C30,erythromycin
C28_D1_R2_IS3_2A,12,Full zone,,3/29/23,C28,erythromycin
C30_D1_R1_IS3_1A,12,,[02.01.2023],[02.03.2023],C30,erythromycin
C30_D1_R1_IS3_2B,12,,[02.01.2023],[02.03.2023],C30,erythromycin
C30_D1_R1_IS3_1B,15,,[02.01.2023],[02.03.2023],C30,erythromycin
C46_D1_R3_IS3_1B,18,,,3/29/23,C46,erythromycin
C41_D1_R1_IS3_2A,19,,4/25/23,4/26/23,C41,erythromycin
C46_D1_R3_IS3_1A,19,,,3/29/23,C46,erythromycin
C35_D1_R1_IS3_1B,20,Full Zone,4/25/23,4/26/23,C35,erythromycin
C41_D1_R1_IS3_1A,20,,4/25/23,4/26/23,C41,erythromycin
C41_D1_R1_IS3_1B,20,,4/25/23,4/26/23,C41,erythromycin
C41_D1_R1_IS3_2B,20,,4/25/23,4/26/23,C41,erythromycin
C46_D1_R3_IS3_2A,20,,,3/29/23,C46,erythromycin
C46_D1_R3_IS3_2B,20,,,3/29/23,C46,erythromycin
C35_D1_R1_IS3_1A,21,Full Zone,4/25/23,4/26/23,C35,erythromycin
C35_D1_R1_IS3_2A,21,Full Zone,4/25/23,4/26/23,C35,erythromycin
C35_D1_R1_IS3_2B,21,Full Zone,4/25/23,4/26/23,C35,erythromycin
C37_D6_R3_IS2_1B,22,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R3_IS2_2B,22,,4/25/23,4/26/23,C37,erythromycin
C21_D1_R1_IS2_1A,23,,4/18/23,4/23/23,C21,erythromycin
C21_D1_R1_IS2_1B,23,,4/18/23,4/23/23,C21,erythromycin
C21_D1_R1_IS2_2A,23,,4/18/23,4/23/23,C21,erythromycin
C21_D1_R1_IS2_2B,23,,4/18/23,4/23/23,C21,erythromycin
C21_D3_R3_IS1_1B,23,,4/18/23,4/23/23,C21,erythromycin
C26_D1_R2_IS3_1A,23,,4/25/23,4/26/23,C26,erythromycin
C26_D1_R2_IS3_2A,23,,4/25/23,4/26/23,C26,erythromycin
C26_D1_R2_IS3_2B,23,,4/25/23,4/26/23,C26,erythromycin
C37_D6_R3_IS2_1A,23,,4/25/23,4/26/23,C37,erythromycin
C37_D6_R3_IS2_2A,23,,4/25/23,4/26/23,C37,erythromycin
C38_D1_R2_IS2_1B,23,,[02.01.2023],[02.03.2023],C38,erythromycin
C21_D3_R1_IS2_2B,24,,4/25/23,4/26/23,C21,erythromycin
C21_D3_R3_IS1_1A,24,,4/18/23,4/23/23,C21,erythromycin
C21_D3_R3_IS1_2A,24,,4/18/23,4/23/23,C21,erythromycin
C21_D3_R3_IS1_2B,24,,4/18/23,4/23/23,C21,erythromycin
C27_D3_R2_IS3_1A,24,,4/25/23,4/26/23,C27,erythromycin
C27_D3_R2_IS3_1B,24,,4/25/23,4/26/23,C27,erythromycin
C27_D3_R2_IS3_2A,24,,4/25/23,4/26/23,C27,erythromycin
C27_D3_R2_IS3_2B,24,,4/25/23,4/26/23,C27,erythromycin
C35_D1_R1_IS1_1A,24,Full Zone,4/25/23,4/26/23,C35,erythromycin
C35_D1_R1_IS1_1B,24,Full Zone,4/25/23,4/26/23,C35,erythromycin
C38_D1_R2_IS2_2B,24,,[02.01.2023],[02.03.2023],C38,erythromycin
C41_D1_R3_IS1_1A,24,,4/18/23,4/23/23,C41,erythromycin
C41_D1_R3_IS1_1B,24,,4/18/23,4/23/23,C41,erythromycin
C41_D1_R3_IS1_2A,24,,4/18/23,4/23/23,C41,erythromycin
C41_D1_R3_IS1_2B,24,,4/18/23,4/23/23,C41,erythromycin
C46_D1_R3_IS2_2B,24,,,3/21/23,C46,erythromycin
C02_D3_R3_IS2_1A,25,,4/4/23,4/5/23,C02,erythromycin
C21_D1_R2_IS2_2A,25,Full Zone,4/18/23,4/23/23,C21,erythromycin
C21_D1_R2_IS2_2B,25,Full Zone,4/18/23,4/23/23,C21,erythromycin
C21_D3_R1_IS2_1A,25,,4/25/23,4/26/23,C21,erythromycin
C21_D3_R1_IS2_1B,25,,4/25/23,4/26/23,C21,erythromycin
C21_D3_R1_IS2_2A,25,,4/25/23,4/26/23,C21,erythromycin
C21_D3_R2_IS2_2B,25,Full Zone,4/25/23,4/26/23,C21,erythromycin
C23_D1_R1_IS2_1A,25,,4/4/23,4/5/23,C23,erythromycin
C23_D1_R1_IS2_1B,25,,4/4/23,4/5/23,C23,erythromycin
C23_D1_R1_IS2_2A,25,,4/4/23,4/5/23,C23,erythromycin
C26_D1_R1_IS2_2B,25,Full Zone,4/4/23,4/5/23,C26,erythromycin
C26_D1_R2_IS3_1A,25,,4/4/23,4/5/23,C26,erythromycin
C26_D1_R2_IS3_1B,25,,4/4/23,4/5/23,C26,erythromycin
C26_D1_R2_IS3_1B,25,,4/25/23,4/26/23,C26,erythromycin
C26_D1_R3_IS1_1A,25,,4/4/23,4/5/23,C26,erythromycin
C26_D1_R3_IS1_2A,25,,4/4/23,4/5/23,C26,erythromycin
C27_D1_R2_IS3_1A,25,Full zone,,3/29/23,C27,erythromycin
C27_D1_R2_IS3_2B,25,Full zone,,3/29/23,C27,erythromycin
C27_D3_R2_IS2_1A,25,,4/25/23,4/26/23,C27,erythromycin
C27_D3_R2_IS2_1B,25,,4/4/23,4/5/23,C27,erythromycin
C27_D3_R2_IS2_1B,25,,4/25/23,4/26/23,C27,erythromycin
C27_D3_R2_IS2_2A,25,,4/25/23,4/26/23,C27,erythromycin
C27_D3_R2_IS2_2B,25,,4/25/23,4/26/23,C27,erythromycin
C27_D3_R2_IS3_2B,25,,4/4/23,4/5/23,C27,erythromycin
C30_D1_R2_IS2_1A,25,,[02.01.2023],[02.03.2023],C30,erythromycin
C35_D1_R1_IS1_2A,25,Full Zone,4/25/23,4/26/23,C35,erythromycin
C35_D1_R1_IS1_2B,25,Full Zone,4/25/23,4/26/23,C35,erythromycin
C35_D1_R2_IS2_2B,25,Full zone,,3/29/23,C35,erythromycin
C35_D1_R2_IS3_1A,25,Full Zone,4/18/23,4/23/23,C35,erythromycin
C35_D1_R2_IS3_1B,25,Full Zone,4/18/23,4/23/23,C35,erythromycin
C35_D1_R2_IS3_2A,25,Full Zone,4/18/23,4/23/23,C35,erythromycin
C35_D1_R2_IS3_2B,25,,,3/29/23,C35,erythromycin
C35_D1_R2_IS3_2B,25,Full Zone,4/18/23,4/23/23,C35,erythromycin
C35_D1_R3_IS2_1A,25,,,3/29/23,C35,erythromycin
C35_D1_R3_IS2_2A,25,,,3/29/23,C35,erythromycin
C35_D1_R3_IS2_2A,25,Full Zone,4/4/23,4/5/23,C35,erythromycin
C38_D1_R2_IS2_1A,25,,[02.01.2023],[02.03.2023],C38,erythromycin
C41_D1_R2_IS1_1B,25,,4/18/23,4/23/23,C41,erythromycin
C41_D1_R2_IS3_1A,25,Full Zone,4/18/23,4/23/23,C41,erythromycin
C41_D1_R2_IS3_1B,25,Full Zone,4/18/23,4/23/23,C41,erythromycin
C41_D1_R3_IS1_1A,25,Full zone,,3/29/23,C41,erythromycin
C41_D1_R3_IS1_1B,25,Full zone,,3/29/23,C41,erythromycin
C41_D1_R3_IS1_2A,25,Full zone,,3/29/23,C41,erythromycin
C41_D1_R3_IS1_2B,25,Full zone,,3/29/23,C41,erythromycin
C41_D1_R3_IS3_1A,25,,4/18/23,4/23/23,C41,erythromycin
